Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,323355,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit","Raspberries",,"Boiron","Standard","1 kg",1.0000,1,"1.000","kg","bag",0%,"109346","9.81","IHG-ENTEGRA","1.0000000","kg","9.81",,"1.0000","1","1.000","1.0000000",
,325052,"Food","Crisp & Snacks","Nuts","Pistachio : Roasted & Salted",,"Own","Standard","2.5 kg",1.0000,1,"2.500","kg",,20%,"107180","38.25","IHG-ENTEGRA","2.5000000","kg","38.25",,"1.0000","1","2.500","2.5000000",
,351096,"Food","Oil","Rapeseed Oil","Rapeseed Oil",,,,"1 x 5 ltr",1.0000,1,"5.000","ltr",,0%,"111366","9.00","IHG-ENTEGRA","5.0000000","ltr","9",,"1.0000","1","5.000","5.0000000",
,351757,"Food","Preserves, Jam & Spread","Honey","Clear Blossom Honey",,"Own","Standard","1 x 680 g",1.0000,1,"680.000","g",,0%,"111641","3.96","IHG-ENTEGRA","0.6800000","kg","3.96",,"1.0000","1","0.680","0.6800000",
,352821,"Food","Sugar & Sweeteners","Sugar","Sugar Cubes : White : Rough Cut",,"La Perruche","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"113071","3.52","IHG-ENTEGRA","1.0000000","kg","3.52",,"1.0000","1","1.000","1.0000000",
,367884,"Food","Baking Ingredients","Sundries","Bicarbonate of Soda",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"100640","2.96","IHG-ENTEGRA","1.0000000","kg","2.96",,"1.0000","1","1.000","1.0000000",
,370068,"Food","Preserves, Jam & Spread","Spread","Chocolate Spread",,"Nutella","Standard","1 x 750 g",1.0000,1,"750.000","g","portion",0%,"112595","4.06","IHG-ENTEGRA","0.7500000","kg","4.06",,"1.0000","1","0.750","0.7500000",
,375714,"Food","Baking Ingredients","Stabilizers / Emulsifier","Xantham Gum",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,20%,"117159","36.22","IHG-ENTEGRA","1.0000000","kg","36.22",,"1.0000","1","1.000","1.0000000",
,376367,"Food","Dried Pasta & Noodles","Linguine","Linguine",,"Riscossa","Standard","1 x 500g",1.0000,1,"500.000","g",,0%,"111823","1.01","IHG-ENTEGRA","0.5000000","kg","1.01",,"1.0000","1","0.500","0.5000000",
,376393,"Food","Cereal","Porridge Oats","Porridge Oats",,"Own","Organic","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"101012","2.93","IHG-ENTEGRA","1.0000000","kg","2.93",,"1.0000","1","1.000","1.0000000",
,377159,"Food","Baking Ingredients","Flour","Flour : T65 ( Gold )",,"Moul-bie","Standard","1 x 25kg",1.0000,1,"25.000","kg","bag",0%,"106968","29.91","IHG-ENTEGRA","25.0000000","kg","29.91",,"1.0000","1","25.000","25.0000000",
,388883,"Food","Hot Drinks","Coffee - Instant","Coffee : Sachets",,"Nescafe","Standard","200 x 1 each",1.0000,200,"1.000","each",,0%,"100180","14.98","IHG-ENTEGRA","200.0000000","each","0.0749",,"1.0000","200","1.000","200.0000000",
,388894,"Food","Cooking Ingredients","Bouillon Paste","Lamb : Bouillon",,"Knorr","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"100823","15.87","IHG-ENTEGRA","1.0000000","kg","15.87",,"1.0000","1","1.000","1.0000000",
,389712,"Food","Pickles & Relish","Pickles","Pickled Cucumbers",,"Own","Standard","1 x 2.5 ltr",1.0000,1,"2.500","ltr",,0%,"101918","5.07","IHG-ENTEGRA","2.5000000","ltr","5.07",,"1.0000","1","2.500","2.5000000",
,399982,"Food","Oil","Sunflower Oil","Sunflower Oil",,"Own","Standard","1 x 5 ltr",1.0000,1,"5.000","ltr",,0%,"106222","8.06","IHG-ENTEGRA","5.0000000","ltr","8.06",,"1.0000","1","5.000","5.0000000",
,400423,"Food","Baking Ingredients","Chocolate Products","Pailette de Feuilltine : Flakes",,,,"1 x 2.5 kg",1.0000,1,"2.500","kg",,0%,"100105","23.37","IHG-ENTEGRA","2.5000000","kg","23.37",,"1.0000","1","2.500","2.5000000",
,400809,"Food","Canned Pulses","Beans","Cannellini Beans",,"Own","Standard","1 x 396 g",1.0000,1,"396.000","g","tin",0%,"101830","0.58","IHG-ENTEGRA","0.3960000","kg","0.58",,"1.0000","1","0.396","0.3960000",
,402039,"Food","Baking Ingredients","Sundries","Liquorice Root",,"Own","Standard","1 x 500 g",1.0000,1,"500.000","g","Packet",0%,"111468","8.16","IHG-ENTEGRA","0.5000000","kg","8.16",,"1.0000","1","0.500","0.5000000",
,402105,"Food","Baking Ingredients","Culinary Nuts & Seeds","Almonds : Batons",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"100069","12.78","IHG-ENTEGRA","1.0000000","kg","12.78",,"1.0000","1","1.000","1.0000000",
,402940,"Drinks","Alcoholic Beverages","Sake","Japanese : Sake",,"Sho Chiku Bai",,"1 x 750 ml",1.0000,1,"750.000","ml",,20%,"107005","8.19","IHG-ENTEGRA","0.7500000","ltr","8.19",,"1.0000","1","0.750","0.7500000",
,407303,"Food","Hot Drinks","Tea - Speciality","Cranberry, Raspberry & Elderflower Tea",,"Own",,"20 x 1 each",1.0000,20,"1.000","each",,0%,"100266","1.80","IHG-ENTEGRA","20.0000000","each","0.09",,"1.0000","20","1.000","20.0000000",
,408730,"Food","Baking Ingredients","Stabilizers / Emulsifier","Stab 2000",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,20%,"108099","29.72","IHG-ENTEGRA","1.0000000","kg","29.72",,"1.0000","1","1.000","1.0000000",
